Id,Name,Type,Price,Metacritic,Recommendations,Year,Playtime,AchievCount,AchievDone,Icon,Logo
41500,Torchlight,game,1499,83,2864,2009,0,66,0,b2a2a43e401dce3c69898b67b1b8af4481d96b08,e36226c6a0575e6e1838e1f915e91f8b31ab3008
41000,Serious Sam HD: The First Encounter,game,1499,68,3045,2009,0,35,0,9aeb464ed7dba489ba5ecb5077ea577b62ca426b,ef005c098c59418bc601aff37b919fcb5995b4a5
564310,Serious Sam Fusion 2017 (beta),game,1499,,1103,,0,76,0,d0bd5715f05deeb32f030a5d5e06073870b7daf8,b4babc53b42275d5ca120909c04ae77f5724b29b
24790,Command and Conquer 3: Tiberium Wars,game,999,85,2168,2009,63,0,0,6e07f2f006ff6960d9089804817ed454c18260ee,6462a21ca380ff8430d1f1d3a6ca21104466c316
24810,Command and Conquer 3: Kane's Wrath,game,999,77,946,2009,0,0,0,9a38dc5cbc37db48e5d4ff7e4f959f1864582268,e8168055161536ca0800d553aef926d00fe5a548
40720,Samorost 2,game,499,,581,2009,76,0,0,a58b640575064853340df4d15834282bdd30e381,a24053b3f27762f09b0ced6b409711ad90c87fc0
22370,Fallout 3 - Game of the Year Edition,game,1999,91,16772,2009,0,0,0,21d7090bdea8f6685ca730850b7b55acfdb92732,ddccc41c513694e7a5542aa115e9e091d6495420
24980,Mass Effect 2,game,1999,94,9198,2010,0,0,0,e6f3b9b0762fd4d42a732abfc41887f6c5903a52,d446fe6d77c9f434cd7fd871400b978fc01fb4e7
38700,Toki Tori,game,499,80,1390,2010,0,38,0,71adfce6503f6a73c094d0dbab17aaa719691d95,7840e49fc48b78295983973d0d2158d020fa5f75
33230,Assassin's Creed II,game,999,86,14488,2010,62,0,0,0492d8ee860ac99168e46efeb003029c3224cb38,6d29461ee9303967cb32c2142afaf9bbdb911b6f
20820,Shatter,game,799,84,451,2010,299,30,14,de59a63f503649493a8ae0a3f88f652405d21f5b,f1c592b51f11be58b6dcd3879646d85869f4558e
43110,Metro 2033,,,,,,0,48,0,a70fe6dc214f24107d20596f3040dbfa220ed42d,df9a163ac1f28dfc84c93a6fc0dc51719eaef518
35140,Batman: Arkham Asylum GOTY Edition,game,1999,91,11402,2010,0,47,0,e52f91ecb0d3f20263e96fe188de1bcc8c91643e,172e0928b845c18491f1a8fee0dafe7a146ac129
6800,Commandos: Behind Enemy Lines,game,499,,1423,2007,61,0,0,809e75c47b592f737e0c91b4e63d65d7b9e41239,d01b2e9b693186054b121d28dab2d3246c37002b
6810,Commandos: Beyond the Call of Duty,game,499,,376,2007,0,0,0,a3980f343245376fbfa787077fe2ff3231bc6319,0b060a4b75119a38b0520b093b9ddd603e606c9e
6830,Commandos 2: Men of Courage,game,499,87,1269,2007,0,0,0,8eaed194affcbbdc617687e2fa80af146e97bb93,9f33ca3ba71f36c1d10704d9558bba2abe7cb6ce
6840,Commandos 3: Destination Berlin,game,499,72,562,2007,0,0,0,73f9a99ca805232d3fd632fc2eba4ad6e2832195,6df824b0b03ae63687853825a3e276c828fc9854
33220,Tom Clancy's Splinter Cell: Conviction,,,,,,0,0,0,788417bcc17f0751c2928b372309e6178401adc5,6939f9914923cad9934603432b43fe7d46d47dd7
41010,Serious Sam HD: The Second Encounter,demo,,76,1193,2012,0,70,0,95beda0d8dbd3d317359fae9f0e6ca1193b2429c,d12f80db174670b0335476b78d56e737bb3a385d
21090,F.E.A.R.,game,5499,88,4256,2010,0,0,0,71f118282be5aaa34eb82506593130ecfcc6a90b,df122e0ee9eb2a5371910ffda0f8a3382e09232e
21110,F.E.A.R.: Extraction Point,game,5499,88,4256,2010,0,0,0,153d4f89ef0bd59a0039c396ff963a31d4d5e71b,df122e0ee9eb2a5371910ffda0f8a3382e09232e
21120,F.E.A.R.: Perseus Mandate,game,5499,88,4256,2010,0,0,0,7b1d0271f2735ca66e1cb681eb4da1a7c985d53f,df122e0ee9eb2a5371910ffda0f8a3382e09232e
33320,Prince of Persia: The Forgotten Sands,game,999,75,665,2010,0,0,0,ae71d05f6a30478dc896f58bff7b353c0edf9959,bc0f3eaf298768b1d51b53991276293c06a99c11
24780,SimCity 4 Deluxe,game,999,,3554,2010,0,0,0,f4c65a58629961dc1ba68476fdcc7bc687d5dd6e,0a0717ab709f27aea9c0c6c66846580960d41082
21970,R.U.S.E,,,,,,0,50,0,644ccfb018f0435dbfadf5c0bc291cef6202d84c,8e5d87927a28a8d322278e430bce81718947121e
57300,Amnesia: The Dark Descent,game,1999,85,10773,2010,0,18,0,2c08de657a8b273eeb55bb5bf674605ca023e381,75b8a82acfb05abda97977ac4eb5af20e0dcf01e
22600,Worms Reloaded,game,1999,79,1867,2010,89,61,2,f600c6e630d9af3ccb1d7892ecc9bb01a7087695,8dc524779f89d3f5ef6a7d30102ae6bafe4a1cd4
70300,VVVVVV,game,499,81,3950,2010,450,19,1,28c3dfe9f29b7933226aa5be2c7d2de61ee4f578,3d362d64d51ce524f12c853290ca6cce5761ff1c
8930,Sid Meier's Civilization V,game,2999,90,79540,2010,0,286,0,fbe80c4743e226f0bf65559c91b12953d4446808,2203f62bd1bdc75c286c13534e50f22e3bd5bb58
32360,The Secret of Monkey Island: Special Edition,game,819,86,1917,2009,35,0,0,d0c7dfee42d8ce36806e34f078e74ce82d21314d,def80542d013e251b343bd5047e640672448063d
32460,Monkey Island 2: Special Edition,game,819,87,1056,2010,0,12,0,3ff954e2286123d0d4cf91dfca57e62a0b7248a9,520648565e99a6a8afa4f92a55dc4a3d39400768
8980,Borderlands,game,1999,81,14186,2009,0,80,0,eb45fb32b7f4e75564a30a52aa3c35a191253ea0,88ec298ff1ff0d748df39e084892aed6e919b146
47810,Dragon Age: Origins - Ultimate Edition,game,1999,91,8350,,0,0,0,e5e0b9629b314f7338f493d26227eb2bd1172e77,aca1a363cb76d4c74d4c891407ca06693a963699
40800,Super Meat Boy,game,1399,87,17397,2010,19,48,0,64eec20c9375e7473b964f0d0bc41d19f03add3b,70f084857297d5fdd96d019db3a990d6d9ec64f1
38720,RUSH,game,499,73,1020,2010,0,25,0,734f6b5196a95c73e69e0525ea3e64e90a12fc93,b1359d9a1d37199493dee056a854ff70735924de
21100,F.E.A.R. 3,game,1999,74,3093,2011,0,50,0,01b73115a3ff7315d14f0bcf7beff01ef76162b4,d2fcf83ec76e845ed19f4ff8324304e2981af391
